"Participant: I'm a man, 44 years old. I am a management analyst, and in my free time, I enjoy bicycling."
"Participant: I'm a man, 57 years old. I am a customer service representative, and in my free time, I exercise a lot."
"Participant: I'm a woman, 25 years old. I am a registered nurse, and in my free time, I spend a lot of time doing housework."
"Participant: I'm a woman, 48 years old. I am a financial manager, and in my free time, I like to eat out."
"Participant: I'm a man, 24 years old. I am a web developer, and in my free time, I like to relax."
"Participant: I'm a man, 34 years old. I am a sales representative, and in my free time, I watch a lot of movies."
"Participant: I'm a man, 44 years old. I am a medical and health services manager, and in my free time, I enjoy listening to music."
"Participant: I'm a man, 38 years old. I am a security guard, and in my free time, I ski."
"Participant: I'm a man, 57 years old. I am a sales manager, and in my free time, I enjoy fishing."
"Participant: I'm a man, 48 years old. I am an information technology project manager, and in my free time, I enjoy listening to music."
"Participant: I'm a woman, 39 years old. I am a web developer, and in my free time, I like traveling."
"Participant: I'm a man, 40 years old. I am a vocational nurse, and in my free time, I enjoy shopping."
"Participant: I'm a woman, 34 years old. I am a computer user support specialist, and in my free time, I exercise a lot."
"Participant: I'm a woman, 43 years old. I am a social and human service assistant, and in my free time, I play golf."
"Participant: I'm a man, 50 years old. I am an insurance sales agent, and in my free time, I like to fix cars."
"Participant: I'm a man, 37 years old. I am an accountant, and in my free time, I like cooking."
"Participant: I'm a woman, 36 years old. I am a supervisor in a retail store, and in my free time, I go on hunting trips."
"Participant: I'm a woman, 59 years old. I am an insurance sales agent, and in my free time, I go on camping trips."
"Participant: I'm a woman, 50 years old. I am a general manager, and in my free time, I like going to the movies."
"Participant: I'm a woman, 26 years old. I am a supervisor of food preparation and serving workers, and in my free time, I enjoy fishing."
"Participant: I'm a man, 28 years old. I am a supervisor of office and administrative support workers, and in my free time, I play billiards."
"Participant: I'm a man, 49 years old. I am a sales representative in wholesale and manufacturing, and in my free time, I play many different team sports."
"Participant: I'm a man, 58 years old. I am a sales agent in financial service, and in my free time, I watch a lot of sports."
"Participant: I'm a man, 55 years old. I am a financial manager, and in my free time, I play tennis."
"Participant: I'm a woman, 47 years old. I am a nursing assistant, and in my free time, I exercise a lot."
"Participant: I'm a man, 31 years old. I am a cashier, and in my free time, I like to go to the beach."
"Participant: I'm a man, 55 years old. I am a software developer, and in my free time, I watch a lot of sports."
